timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610557546550,2078,Blazedemo - Get,200,OK,Soak Test 2-82,text,true,,3228,115,160,365,https://blazedemo.com/,2056,0,1148
1610557546545,2084,Blazedemo - Get,200,OK,Spike Test 3-58,text,true,,3228,115,100,365,https://blazedemo.com/,2084,0,1155
1610557546550,2089,Blazedemo - Get,200,OK,Spike Test 3-81,text,true,,3228,115,100,365,https://blazedemo.com/,2088,0,1008
1610557546550,2091,Blazedemo - Get,200,OK,Soak Test 2-74,text,true,,3228,115,160,365,https://blazedemo.com/,2091,0,1151
1610557546549,2092,Blazedemo - Get,200,OK,Soak Test 2-98,text,true,,3228,115,160,365,https://blazedemo.com/,2092,0,1150
1610557547024,1621,Blazedemo - Get,200,OK,Load Test 1-282,text,true,,3228,115,83,365,https://blazedemo.com/,1621,0,277
1610557546549,2114,Blazedemo - Get,200,OK,Spike Test 3-68,text,true,,3228,115,100,366,https://blazedemo.com/,2114,0,1227
1610557546549,2114,Blazedemo - Get,200,OK,Soak Test 2-112,text,true,,3228,115,160,366,https://blazedemo.com/,2114,0,797
1610557546547,2116,Blazedemo - Get,200,OK,Soak Test 2-34,text,true,,3228,115,160,366,https://blazedemo.com/,2116,0,1229
1610557546545,2118,Blazedemo - Get,200,OK,Soak Test 2-29,text,true,,3228,115,160,366,https://blazedemo.com/,2118,0,805
1610557546546,2122,Blazedemo - Get,200,OK,Spike Test 3-46,text,true,,3228,115,100,366,https://blazedemo.com/,2121,0,1230
1610557546548,2120,Blazedemo - Get,200,OK,Soak Test 2-103,text,true,,3228,115,160,366,https://blazedemo.com/,2120,0,1228
1610557546548,2120,Blazedemo - Get,200,OK,Soak Test 2-2,text,true,,3228,115,160,366,https://blazedemo.com/,2120,0,1231
1610557546547,2133,Blazedemo - Get,200,OK,Spike Test 3-12,text,true,,3228,115,100,366,https://blazedemo.com/,2132,0,872
1610557546547,2143,Blazedemo - Get,200,OK,Soak Test 2-86,text,true,,3228,115,160,366,https://blazedemo.com/,2143,0,1285
1610557546545,2145,Blazedemo - Get,200,OK,Soak Test 2-19,text,true,,3228,115,160,366,https://blazedemo.com/,2145,0,1289
1610557546548,2142,Blazedemo - Get,200,OK,Soak Test 2-23,text,true,,3228,115,160,366,https://blazedemo.com/,2142,0,1084
1610557546546,2144,Blazedemo - Get,200,OK,Soak Test 2-99,text,true,,3228,115,160,366,https://blazedemo.com/,2144,0,800
1610557546545,2162,Blazedemo - Get,200,OK,Spike Test 3-33,text,true,,3228,115,100,368,https://blazedemo.com/,2162,0,874
1610557546549,2182,Blazedemo - Get,200,OK,Soak Test 2-57,text,true,,3228,115,160,369,https://blazedemo.com/,2182,0,1149
1610557546547,2184,Blazedemo - Get,200,OK,Spike Test 3-48,text,true,,3228,115,100,369,https://blazedemo.com/,2184,0,1150
1610557546548,2191,Blazedemo - Get,200,OK,Spike Test 3-31,text,true,,3228,115,100,369,https://blazedemo.com/,2191,0,1397
1610557546548,2191,Blazedemo - Get,200,OK,Soak Test 2-130,text,true,,3228,115,160,369,https://blazedemo.com/,2191,0,1390
1610557546547,2198,Blazedemo - Get,200,OK,Soak Test 2-40,text,true,,3228,115,160,369,https://blazedemo.com/,2198,0,1398
1610557546549,2196,Blazedemo - Get,200,OK,Soak Test 2-22,text,true,,3228,115,160,369,https://blazedemo.com/,2196,0,1228
1610557546545,2200,Blazedemo - Get,200,OK,Spike Test 3-54,text,true,,3228,115,100,369,https://blazedemo.com/,2200,0,806
